nest	site	Iddef	sampling	type	a	b	surface	x	y	UTM1	UTM2
L	West-Vleteren	H1_West-Vleteren	2018	original	1.6	1.41	7.09	50.886123	2.696334	5637304.501	478639.4267
K	West-Vleteren	H2_West-Vleteren	2018	original	1.15	1.32	4.77	50.886035	2.696172	5637294.762	478627.991
G	West-Vleteren	H3_West-Vleteren	2018	original	1.62	1.53	7.79	50.885738	2.69567	5637261.88	478592.543
E	West-Vleteren	H4_West-Vleteren	2018	original	1.66	0.95	4.95	50.885587	2.695459	5637245.15	478577.6314
N	West-Vleteren	H5_West-Vleteren	2018	original	0.72	0.83	1.88	50.885736	2.697179	5637261.221	478698.6893
Q	West-Vleteren	H6_West-Vleteren	2018	original	1.03	1.74	5.63	50.885398	2.697621	5637223.507	478729.6269
R	West-Vleteren	H7_West-Vleteren	2018	original	1.06	1.19	3.96	50.885687	2.69895	5637255.263	478823.2442
Y	West-Vleteren	H8_West-Vleteren	2018	original	1.5	0.8	3.77	50.889042	2.703954	5637626.927	479176.7356
B1	West-Vleteren	N1_West-Vleteren	2018	budded	0.54	0.6	1.02	50.885872	2.695956	5637276.698	478612.7224
B2	West-Vleteren	N2_West-Vleteren	2018	budded	0.53	0.38	0.63	50.886616	2.694459	5637359.868	478507.7619
B3	West-Vleteren	N3_West-Vleteren	2018	budded	NA	NA	1.40	50.885939	2.696895	5637283.878	478678.8046
B4	West-Vleteren	N4_West-Vleteren	2018	budded	NA	NA	1.50	50.88575	2.699188	5637262.201	478840.0143
B5	West-Vleteren	N5_West-Vleteren	2019	budded	0.85	0.85	2.27	50.885452	2.695352	5637230.168	478570.0428
B6	West-Vleteren	N6_West-Vleteren	2019	budded	0.94	0.98	2.89	50.886578	2.694526	5637355.623	478512.4573
B7	West-Vleteren	N7_West-Vleteren	2019	budded	0.65	0.71	1.45	50.886413	2.69482	5637337.189	478533.0619
A	West-Vleteren	NA	NA	extra	1.5	1.3	6.13	50.885348	2.695058	5637218.688	478549.3141
B	West-Vleteren	NA	NA	extra	1.32	1.34	5.56	50.885362	2.695085	5637220.237	478551.2198
C	West-Vleteren	NA	NA	extra	1.48	1.36	6.32	50.885532	2.69539	5637239.053	478572.7525
D	West-Vleteren	NA	NA	extra	1.04	1.25	4.08	50.885577	2.695452	5637244.04	478577.1344
F	West-Vleteren	NA	NA	extra	0.98	0.93	2.86	50.88565	2.695539	5637252.132	478583.2877
H	West-Vleteren	NA	NA	extra	0.95	1	2.98	50.885787	2.695772	5637267.299	478599.7404
I	West-Vleteren	NA	NA	extra	2.21	1.4	9.72	50.885808	2.695809	5637269.624	478602.3527
J	West-Vleteren	NA	NA	extra	1.5	1.43	6.74	50.885836	2.695858	5637272.724	478605.8123
M	West-Vleteren	NA	NA	extra	1.25	1.06	4.16	50.886173	2.696339	5637310.06	478639.8012
O	West-Vleteren	NA	NA	extra	1.52	0.85	4.06	50.885546	2.697422	5637240.023	478715.696
P	West-Vleteren	NA	NA	extra	1.44	0.78	3.53	50.885407	2.697588	5637224.518	478727.3097
S	West-Vleteren	NA	NA	extra	1.25	1.18	4.63	50.885756	2.699145	5637262.88	478836.9923
T	West-Vleteren	NA	NA	extra	0.9	0.6	1.70	50.890672	2.702613	5637808.567	479083.1426
U	West-Vleteren	NA	NA	extra	NA	NA	4.65	50.890865	2.702381	5637830.095	479066.9113
V	West-Vleteren	NA	NA	extra	1.11	1	3.49	50.891056	2.702182	5637851.391	479053.0003
W	West-Vleteren	NA	NA	extra	0.42	0.56	0.74	50.891428	2.701758	5637892.879	479023.3454
X	West-Vleteren	NA	NA	extra	1.03	1.05	3.40	50.891596	2.701623	5637911.6	479013.9258
Z	West-Vleteren	NA	NA	extra	NA	NA	6.00	50.885381	2.695184	5637222.322	478558.1925
